"","site_id","site_name","entity_id","entity_name","DOI","citation"
"1",129,"Grotta di Carburangeli",277,"CR1","10.1016/j.yqres.2006.05.003","Frisia, S., Borsato, A., Mangini, A., Spötl, C., Madonia, G. and Sauro, U.: Holocene Climate Variability in Sicily from a Discontinuous Stalagmite Record and the Mesolithic to Neolithic Transition, Quat. Res., 66(3), 388–400, 2006."
"2",129,"Grotta di Carburangeli",277,"CR1","http://www2.muse.it/pubblicazioni/6/actaG80/Vol_ACTA_80_2003_153-167.pdf","Madonia, G., Frisia, S., Borsato, A., Macaluso, T., Mangini, A., Paladini, M., Piccini, L., Miorandi, R., Spötl, C., Sauro, U., Agnesi, V., Di Pietro, R., Palmeri, A. and Vattano, M.: La Grotta di Carburangeli--ricostruzione climatica dell’Olocene per la piana costiera della Sicilia nord-occidentale, Stud. Trent Sci Nat Acta Geol, 80, 153–167, 2005."
