"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"93",277,204687,983.48,NA,NA,"linear",-8.17,0.1
"94",277,204687,917.5,169.5,463.65,"sisal: Bchron",-8.17,0.1
"95",277,204688,984.26,NA,NA,"linear",-8.22,0.1
"96",277,204688,918,169.05,461.15,"sisal: Bchron",-8.22,0.1
"97",277,204689,985.04,NA,NA,"linear",-8.33,0.1
"98",277,204689,919,168.05,451.25,"sisal: Bchron",-8.33,0.1
"99",277,204690,985.81,NA,NA,"linear",-8.46,0.1
"100",277,204690,919.5,168.5,450.55,"sisal: Bchron",-8.46,0.1
"101",277,204691,986.59,NA,NA,"linear",-8.56,0.1
"102",277,204691,920,168,449.1,"sisal: Bchron",-8.56,0.1
"103",277,204692,987.37,NA,NA,"linear",-8.62,0.1
"104",277,204692,921,167,449.1,"sisal: Bchron",-8.62,0.1
"105",277,204693,988.14,NA,NA,"linear",-8.7,0.1
"106",277,204693,922,166.05,445.2,"sisal: Bchron",-8.7,0.1
"107",277,204694,988.92,NA,NA,"linear",-8.73,0.1
"108",277,204694,923,165.05,445.05,"sisal: Bchron",-8.73,0.1
"109",277,204695,989.7,NA,NA,"linear",-8.72,0.1
"110",277,204695,924,165,444.1,"sisal: Bchron",-8.72,0.1
"111",277,204696,990.48,NA,NA,"linear",-8.64,0.1
"112",277,204696,924,165,443.15,"sisal: Bchron",-8.64,0.1
"113",277,204697,991.25,NA,NA,"linear",-8.61,0.1
"114",277,204697,924.5,164.5,441.55,"sisal: Bchron",-8.61,0.1
"115",277,204698,992.03,NA,NA,"linear",-8.6,0.1
"116",277,204698,925,164,436.05,"sisal: Bchron",-8.6,0.1
"117",277,204699,992.81,NA,NA,"linear",-8.62,0.1
"118",277,204699,926,163.05,432,"sisal: Bchron",-8.62,0.1
"119",277,204700,993.58,NA,NA,"linear",-8.65,0.1
"120",277,204700,927,163,426.1,"sisal: Bchron",-8.65,0.1
"121",277,204701,994.36,NA,NA,"linear",-8.71,0.1
"122",277,204701,927.5,162.5,420.65,"sisal: Bchron",-8.71,0.1
"123",277,204702,995.14,NA,NA,"linear",-8.81,0.1
"124",277,204702,928.5,161.5,418.55,"sisal: Bchron",-8.81,0.1
"125",277,204703,995.92,NA,NA,"linear",-8.87,0.1
"126",277,204703,929,161,417.05,"sisal: Bchron",-8.87,0.1
"127",277,204704,996.69,NA,NA,"linear",-8.93,0.1
"128",277,204704,929.5,161.5,417.55,"sisal: Bchron",-8.93,0.1
"129",277,204705,997.47,NA,NA,"linear",-8.91,0.1
"130",277,204705,930.5,160.5,417.55,"sisal: Bchron",-8.91,0.1
"131",277,204706,998.25,NA,NA,"linear",-8.96,0.1
"132",277,204706,931,160.05,413.1,"sisal: Bchron",-8.96,0.1
"133",277,204707,999.02,NA,NA,"linear",-8.95,0.1
"134",277,204707,932,159.05,407.25,"sisal: Bchron",-8.95,0.1
"135",277,204708,999.8,NA,NA,"linear",-8.99,0.1
"136",277,204708,932,160.05,405.15,"sisal: Bchron",-8.99,0.1
"137",277,204709,1000.58,NA,NA,"linear",-8.96,0.1
"138",277,204709,933,160,405,"sisal: Bchron",-8.96,0.1
"139",277,204710,1001.35,NA,NA,"linear",-8.95,0.1
"140",277,204710,933,161,401.15,"sisal: Bchron",-8.95,0.1
"141",277,204711,1002.13,NA,NA,"linear",-8.91,0.1
"142",277,204711,934,160,398.15,"sisal: Bchron",-8.91,0.1
"143",277,204712,1002.91,NA,NA,"linear",-8.93,0.1
"144",277,204712,935,159.05,395.05,"sisal: Bchron",-8.93,0.1
"145",277,204713,1003.69,NA,NA,"linear",-8.98,0.1
"146",277,204713,936.5,157.6,392.5,"sisal: Bchron",-8.98,0.1
"147",277,204714,1004.46,NA,NA,"linear",-9.05,0.1
"148",277,204714,937,158.05,387,"sisal: Bchron",-9.05,0.1
"149",277,204715,1005.24,NA,NA,"linear",-9.12,0.1
"150",277,204715,938,157.1,383.15,"sisal: Bchron",-9.12,0.1
"151",277,204716,1006.02,NA,NA,"linear",-9.17,0.1
"152",277,204716,939,156.1,383.05,"sisal: Bchron",-9.17,0.1
"153",277,204717,1006.79,NA,NA,"linear",-9.17,0.1
"154",277,204717,939,157.05,379.1,"sisal: Bchron",-9.17,0.1
"155",277,204718,1007.57,NA,NA,"linear",-9.08,0.1
"156",277,204718,940,156.05,376,"sisal: Bchron",-9.08,0.1
"157",277,204719,1008.35,NA,NA,"linear",-8.98,0.1
"158",277,204719,941,156,371.05,"sisal: Bchron",-8.98,0.1
"159",277,204720,1009.13,NA,NA,"linear",-8.86,0.1
"160",277,204720,941.5,155.5,363.7,"sisal: Bchron",-8.86,0.1
"161",277,204721,1009.9,NA,NA,"linear",-8.73,0.1
"162",277,204721,942,156,359.1,"sisal: Bchron",-8.73,0.1
"163",277,204722,1010.68,NA,NA,"linear",-8.61,0.1
"164",277,204722,942,157,355.05,"sisal: Bchron",-8.61,0.1
"165",277,204723,1011.46,NA,NA,"linear",-8.56,0.1
"166",277,204723,943,156.05,349.1,"sisal: Bchron",-8.56,0.1
"167",277,204724,1012.23,NA,NA,"linear",-8.5,0.1
"168",277,204724,944.5,155.5,344.75,"sisal: Bchron",-8.5,0.1
"169",277,204725,1013.01,NA,NA,"linear",-8.47,0.1
"170",277,204725,945,155,340.45,"sisal: Bchron",-8.47,0.1
"171",277,204726,1013.79,NA,NA,"linear",-8.34,0.1
"172",277,204726,945.5,154.55,339.95,"sisal: Bchron",-8.34,0.1
"173",277,204727,1014.57,NA,NA,"linear",-8.22,0.1
"174",277,204727,946,155,339.35,"sisal: Bchron",-8.22,0.1
"175",277,204728,1015.34,NA,NA,"linear",-8.19,0.1
"176",277,204728,946.5,154.55,338.7,"sisal: Bchron",-8.19,0.1
"177",277,204729,1016.12,NA,NA,"linear",-8.13,0.1
"178",277,204729,948,154,338.1,"sisal: Bchron",-8.13,0.1
"179",277,204730,1016.9,NA,NA,"linear",-8.11,0.1
"180",277,204730,949,153,337.05,"sisal: Bchron",-8.11,0.1
