"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"101",277,204741,1025.45,NA,NA,"linear",-7.59,0.1
"102",277,204742,1026.24,NA,NA,"linear",-7.51,0.1
"103",277,204743,1027.02,NA,NA,"linear",-7.46,0.1
"104",277,204744,1027.81,NA,NA,"linear",-7.58,0.1
"105",277,204745,1028.6,NA,NA,"linear",-7.78,0.1
"106",277,204746,1029.38,NA,NA,"linear",-7.83,0.1
"107",277,204747,1030.17,NA,NA,"linear",-7.91,0.1
"108",277,204748,1030.95,NA,NA,"linear",-8.01,0.1
"109",277,204749,1031.74,NA,NA,"linear",-8.12,0.1
"110",277,204750,1032.52,NA,NA,"linear",-8.21,0.1
"111",277,204751,1033.31,NA,NA,"linear",-8.31,0.1
"112",277,204752,1034.09,NA,NA,"linear",-8.31,0.1
"113",277,204753,1034.88,NA,NA,"linear",-8.33,0.1
"114",277,204754,1035.66,NA,NA,"linear",-8.4,0.1
"115",277,204755,1036.45,NA,NA,"linear",-8.57,0.1
"116",277,204756,1037.24,NA,NA,"linear",-8.59,0.1
"117",277,204757,1038.02,NA,NA,"linear",-8.52,0.1
"118",277,204758,1038.81,NA,NA,"linear",-8.59,0.1
"119",277,204759,1039.59,NA,NA,"linear",-8.77,0.1
"120",277,204760,1040.38,NA,NA,"linear",-8.9,0.1
"121",277,204761,1041.16,NA,NA,"linear",-8.8,0.1
"122",277,204762,1041.95,NA,NA,"linear",-8.51,0.1
"123",277,204763,1042.73,NA,NA,"linear",-8.44,0.1
"124",277,204764,1043.52,NA,NA,"linear",-8.64,0.1
"125",277,204765,1044.3,NA,NA,"linear",-8.8,0.1
"126",277,204766,1045.09,NA,NA,"linear",-8.79,0.1
"127",277,204767,1045.87,NA,NA,"linear",-8.68,0.1
"128",277,204768,1046.66,NA,NA,"linear",-8.72,0.1
"129",277,204769,1047.45,NA,NA,"linear",-8.65,0.1
"130",277,204770,1048.23,NA,NA,"linear",-8.34,0.1
"131",277,204771,1049.02,NA,NA,"linear",-8.07,0.1
"132",277,204772,1049.8,NA,NA,"linear",-7.9,0.1
"133",277,204773,1050.59,NA,NA,"linear",-7.95,0.1
"134",277,204774,1051.37,NA,NA,"linear",-7.95,0.1
"135",277,204775,1052.16,NA,NA,"linear",-7.72,0.1
"136",277,204776,1052.94,NA,NA,"linear",-7.4,0.1
"137",277,204777,1053.73,NA,NA,"linear",-7.19,0.1
"138",277,204778,1054.51,NA,NA,"linear",-7.34,0.1
"139",277,204779,1055.3,NA,NA,"linear",-7.47,0.1
"140",277,204780,1056.09,NA,NA,"linear",-7.44,0.1
"141",277,204781,1056.87,NA,NA,"linear",-7.4,0.1
"142",277,204782,1057.66,NA,NA,"linear",-7.49,0.1
"143",277,204783,1058.44,NA,NA,"linear",-7.61,0.1
"144",277,204784,1059.23,NA,NA,"linear",-7.51,0.1
"145",277,204785,1060.01,NA,NA,"linear",-7.57,0.1
